timestamp,demand,temperature,humidity,rain,cloud,windspeed,is_holiday,is_weekend
2016-09-25,107.8,23.35,92.33333333333331,7.2,100.0,14.883333333333333,0,1
2016-09-26,112.7,24.05,91.45833333333331,18.2,99.91666666666669,11.991666666666667,0,0
2016-09-27,117.6,24.179166666666664,90.04166666666667,9.7,99.75,11.55,0,0
2016-09-28,123.5,25.73333333333333,83.41666666666667,0.7000000000000001,96.375,11.045833333333334,0,0
2016-09-29,128.9,25.995833333333334,82.125,0.7000000000000001,98.54166666666669,12.104166666666666,0,0
2016-09-30,133.6,25.27916666666667,82.08333333333333,0.7,89.5,13.370833333333332,0,0
2016-10-01,150.4,23.4125,90.91666666666669,22.1,95.16666666666669,11.716666666666669,0,1
2016-10-01,126.6,23.4125,90.91666666666669,22.1,95.16666666666669,11.716666666666669,0,1
2016-10-02,120.5,24.229166666666668,85.95833333333333,2.5,68.66666666666667,10.841666666666669,1,1
2016-10-03,133.4,24.475,76.125,0.0,19.666666666666668,10.3125,0,0
2016-10-04,143.0,24.46666666666667,77.29166666666667,0.0,35.541666666666664,10.120833333333334,0,0
2016-10-05,148.5,24.579166666666666,77.125,0.0,63.41666666666666,14.666666666666666,1,0
2016-10-06,152.1,24.79583333333333,77.95833333333333,0.4,93.0,12.520833333333334,1,0
2016-10-07,153.0,25.070833333333336,77.83333333333333,1.1,96.79166666666669,11.116666666666667,1,0
2016-10-08,133.1,23.9625,87.58333333333333,18.4,99.66666666666669,11.795833333333334,1,1
2016-10-09,124.8,24.454166666666666,87.04166666666667,10.9,95.33333333333331,13.8625,0,1
2016-10-10,129.2,25.425,81.20833333333333,0.3,91.95833333333331,12.754166666666668,0,0
2016-10-11,125.7,25.766666666666666,83.58333333333333,0.3,82.875,8.15,0,0
2016-10-12,132.5,25.379166666666663,74.125,0.0,89.45833333333333,8.033333333333333,0,0
2016-10-13,143.0,24.34583333333333,70.08333333333333,0.0,29.791666666666668,8.008333333333333,1,0
2016-10-13,143.0,24.34583333333333,70.08333333333333,0.0,29.791666666666668,8.008333333333333,1,0
2016-10-14,149.3,23.4375,64.29166666666667,0.0,58.875,8.808333333333334,0,0
2016-10-15,150.4,23.7125,59.66666666666666,0.0,31.0,7.054166666666667,0,1
2016-10-16,148.9,23.7875,60.125,0.0,35.541666666666664,6.833333333333333,0,1
2016-10-17,154.0,23.3625,62.66666666666666,0.0,7.541666666666667,8.429166666666667,1,0
2016-10-18,156.1,23.5875,64.375,0.0,7.958333333333333,8.333333333333334,0,0
2016-10-19,159.0,23.3375,63.16666666666666,0.0,2.375,8.433333333333334,0,0
2016-10-20,158.9,23.433333333333334,63.833333333333336,0.0,73.83333333333333,8.1,0,0
2016-10-21,159.4,23.40416666666667,61.16666666666666,0.0,56.875,8.695833333333333,0,0
2016-10-22,158.0,23.10833333333333,62.458333333333336,0.0,45.208333333333336,8.320833333333333,0,1
2016-10-23,153.2,23.90833333333333,57.625,0.0,17.458333333333332,6.216666666666666,0,1
2016-10-24,157.5,24.1125,59.5,0.0,75.16666666666667,6.541666666666667,0,0
2016-10-25,158.6,23.954166666666666,60.5,0.0,77.20833333333333,8.4,0,0
2016-10-26,158.9,23.29583333333333,61.125,0.0,20.95833333333333,9.504166666666666,0,0
2016-10-27,157.4,23.225,61.0,0.0,26.70833333333333,10.954166666666666,1,0
2016-10-28,158.9,23.8375,59.0,0.0,61.54166666666666,10.1125,1,0
2016-10-29,159.8,24.075000000000003,70.91666666666667,0.0,77.41666666666667,6.266666666666667,1,1
2016-10-30,145.8,23.866666666666664,81.79166666666667,1.1,41.29166666666666,8.366666666666667,0,1
2016-10-31,147.8,23.3875,86.75,4.0,66.20833333333333,7.058333333333334,0,0
2016-11-02,152.2,24.133333333333336,62.375,0.0,31.0,8.566666666666666,1,0
2016-11-03,152.6,24.40416666666667,64.54166666666667,0.0,26.58333333333333,8.879166666666666,0,0
2016-11-04,154.3,24.05,61.04166666666666,0.0,41.16666666666666,11.008333333333333,0,0
2016-11-05,152.4,23.65416666666667,59.125,0.0,34.75,9.304166666666667,0,1
2016-11-06,146.4,23.729166666666668,62.16666666666666,0.0,46.54166666666666,8.383333333333333,0,1
2016-11-07,146.0,22.27916666666667,52.875,0.0,0.2083333333333333,11.016666666666666,0,0
2016-11-08,147.6,21.7875,49.375,0.0,0.0,9.858333333333333,0,0
2016-11-09,147.1,21.933333333333334,52.79166666666666,0.0,14.625,7.558333333333334,0,0
2016-11-10,144.7,21.991666666666664,49.208333333333336,0.0,0.0,7.754166666666666,1,0
2016-11-11,142.7,21.291666666666668,51.66666666666666,0.0,0.0,8.862499999999999,0,0
2016-11-12,138.6,21.7,56.66666666666666,0.0,0.0416666666666666,7.995833333333334,1,1
2016-11-13,134.0,22.9375,66.16666666666667,0.0,8.333333333333334,7.470833333333334,0,1
2016-11-14,139.1,23.89583333333333,72.75,0.0,46.91666666666666,6.7625,0,0
2016-11-16,138.0,23.96666666666667,69.54166666666667,0.0,21.791666666666668,7.791666666666667,0,0
2016-11-17,137.4,23.666666666666668,62.79166666666666,0.0,21.45833333333333,8.85,0,0
2016-11-18,137.9,22.8625,55.75,0.0,49.208333333333336,9.629166666666666,0,0
2016-11-19,133.7,21.60833333333333,52.5,0.0,82.25,8.895833333333334,0,1
2016-11-20,127.9,21.729166666666668,55.04166666666666,0.0,74.0,7.808333333333334,0,1
2016-11-21,133.0,21.78333333333333,54.25,0.0,50.083333333333336,8.729166666666666,0,0
2016-11-22,135.0,22.2,51.208333333333336,0.0,18.45833333333333,7.183333333333334,0,0
2016-11-24,137.5,22.070833333333336,53.41666666666666,0.0,5.541666666666667,8.616666666666667,1,0
2016-11-25,138.6,21.729166666666668,53.333333333333336,0.0,0.0,9.666666666666666,0,0
2016-11-26,136.6,21.704166666666666,51.958333333333336,0.0,0.125,9.266666666666667,0,1
2016-11-27,132.5,22.2375,52.29166666666666,0.0,9.125,10.1625,0,1
2016-11-28,137.4,22.566666666666663,52.708333333333336,0.0,0.125,9.65,0,0
